r1	r2	m	s
sheep	frigate	1948	0.0121354708172
robin	dresser	1972	0.0813540007346
dress	apple	1975	0.0555508055271
axe	villa	1953	0.0267090360121
pistol	elm	1967	0.0654772754165
table	shirt	1932	0.0467307214677
elephant	spear	1949	0.0778565278676
castle	oak	1961	0.0282089096856
pigeon	jet	1967	0.0800467475188
cherry	fork	1973	0.0629501504216
lion	bed	1935	0.0615039449404
musket	pine	1963	0.0212310869863
chisel	car	1961	0.0654096636972
sparrow	cloak	1939	0.0127781603867
plum	hotel	1958	0.064837211302
